Time,Node,Type,Destination,Retransmitter,Metric,SeqNumber
+7.90049e+07ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,151,2
+7.90049e+07ns,27,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,151,2
+7.94886e+07ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,302,2
+7.94886e+07ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1c,302,2
+7.94888e+07ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,302,2
+7.94888e+07ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1c,302,2
+8.07937e+07ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,453,2
+8.07937e+07ns,26,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,453,2
+8.12865e+07ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,604,2
+8.12865e+07ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,604,2
+2.127e+09ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,151,3
+2.127e+09ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,151,3
+2.127e+09ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,151,3
+2.12806e+09ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,302,3
+2.12806e+09ns,26,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,302,3
+2.12858e+09ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,453,3
+2.12858e+09ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,453,3
+2.12909e+09ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,604,3
+2.12909e+09ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,604,3
+4.17501e+09ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,264,4
+4.17501e+09ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,268,4
+4.17609e+09ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,422,4
+4.17656e+09ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,415,4
+4.17846e+09ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,566,4
+4.18072e+09ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,717,4
+6.223e+09ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,169,5
+6.223e+09ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,169,5
+6.223e+09ns,27,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,169,5
+6.22402e+09ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,320,5
+6.22402e+09ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,320,5
+6.22402e+09ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,352,5
+6.22561e+09ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,503,5
+6.22607e+09ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,654,5
+8.271e+09ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,353,6
+8.271e+09ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,353,6
+8.271e+09ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,156,6
+8.271e+09ns,27,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,156,6
+8.27199e+09ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,515,6
+8.27199e+09ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,511,6
+8.27199e+09ns,26,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,511,6
+8.27387e+09ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,662,6
+8.27387e+09ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,662,6
+8.2739e+09ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,307,6
+8.2739e+09ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1c,307,6
+8.27436e+09ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,813,6
+8.27436e+09ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,813,6
+1.0319e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,167,7
+1.0319e+10ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,167,7
+1.0319e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,152,7
+1.0319e+10ns,27,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,152,7
+1.032e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,319,7
+1.032e+10ns,26,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,319,7
+1.03205e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,470,7
+1.03205e+10ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,470,7
+1.03209e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,621,7
+1.03209e+10ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,621,7
+1.2367e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,253,8
+1.2367e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,157,8
+1.23688e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,419,8
+1.23688e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,404,8
+1.23706e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,308,8
+1.23707e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,555,8
+1.23712e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,706,8
+1.4415e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,170,9
+1.4415e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,161,9
+1.4416e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,312,9
+1.4416e+10ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1c,312,9
+1.4417e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,331,9
+1.44175e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,483,9
+1.4418e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,634,9
+1.6463e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,156,10
+1.6463e+10ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,156,10
+1.6463e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,180,10
+1.6463e+10ns,27,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,180,10
+1.64641e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,597,10
+1.64641e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,336,10
+1.64641e+10ns,26,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,336,10
+1.64648e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,508,10
+1.64648e+10ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,508,10
+1.64653e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,659,10
+1.64653e+10ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,659,10
+1.64655e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,331,10
+1.8511e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,159,11
+1.8511e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,165,11
+1.8511e+10ns,27,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,165,11
+1.8512e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,613,11
+1.8512e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,326,11
+1.8512e+10ns,26,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,326,11
+1.85134e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,316,11
+1.85134e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,480,11
+1.85134e+10ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,480,11
+1.85139e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,631,11
+1.85139e+10ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,631,11
+2.0559e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,239,12
+2.0559e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,160,12
+2.0559e+10ns,27,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,160,12
+2.05599e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,693,12
+2.05599e+10ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,693,12
+2.05599e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,398,12
+2.05615e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,311,12
+2.05615e+10ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1c,311,12
+2.05616e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,549,12
+2.05621e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,700,12
+2.2607e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,165,13
+2.2607e+10ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,165,13
+2.2607e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,157,13
+2.2607e+10ns,27,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,157,13
+2.26079e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,481,13
+2.26079e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,328,13
+2.26087e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,308,13
+2.26087e+10ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1c,308,13
+2.26115e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,479,13
+2.26115e+10ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,479,13
+2.26136e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,630,13
+2.26136e+10ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,630,13
+2.4655e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,160,14
+2.4655e+10ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,160,14
+2.4655e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,157,14
+2.4656e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,313,14
+2.46565e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,321,14
+2.46565e+10ns,26,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,321,14
+2.46573e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,472,14
+2.46573e+10ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,472,14
+2.466e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,623,14
+2.466e+10ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,623,14
+2.6703e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,217,15
+2.6703e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,153,15
+2.6703e+10ns,27,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,153,15
+2.67041e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,521,15
+2.67041e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,398,15
+2.67048e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,549,15
+2.67053e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,700,15
+2.67067e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,305,15
+2.67067e+10ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1c,305,15
+2.8751e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,188,16
+2.8751e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,159,16
+2.8752e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,310,16
+2.8753e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,359,16
+2.87535e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,569,16
+2.87539e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,720,16
+3.0799e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,184,17
+3.0799e+10ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,184,17
+3.0799e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,159,17
+3.08003e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,780,17
+3.08003e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,338,17
+3.08003e+10ns,26,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,338,17
+3.08019e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,492,17
+3.08019e+10ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,492,17
+3.08024e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,643,17
+3.08024e+10ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,643,17
+3.2847e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,166,18
+3.2847e+10ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,166,18
+3.2847e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,156,18
+3.2847e+10ns,27,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,156,18
+3.2848e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,337,18
+3.2848e+10ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,337,18
+3.2848e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,320,18
+3.2848e+10ns,26,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,320,18
+3.28486e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,307,18
+3.28486e+10ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1c,307,18
+3.28498e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,472,18
+3.28498e+10ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,472,18
+3.28502e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,623,18
+3.28502e+10ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,623,18
+3.4895e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,217,19
+3.4895e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,157,19
+3.4896e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,308,19
+3.4897e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,378,19
+3.48976e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,530,19
+3.4898e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,681,19
+3.6943e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,161,20
+3.6943e+10ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,161,20
+3.6943e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,153,20
+3.6943e+10ns,27,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,153,20
+3.69445e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,304,20
+3.69445e+10ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1c,304,20
+3.69455e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,314,20
+3.69455e+10ns,26,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,314,20
+3.6946e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,465,20
+3.6946e+10ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,465,20
+3.69465e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,616,20
+3.69465e+10ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,616,20
+3.8991e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,160,21
+3.8991e+10ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,160,21
+3.8991e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,280,21
+3.89922e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,431,21
+3.89933e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,373,21
+3.89933e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,311,21
+3.89933e+10ns,26,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,311,21
+3.89952e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,462,21
+3.89952e+10ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,462,21
+3.89957e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,613,21
+3.89957e+10ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,613,21
