Time,Node,Type,Destination,Retransmitter,Metric,SeqNumber
+8.2e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,411,42
+8.20016e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,306,42
+8.20016e+10ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1c,306,42
+8.20016e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,562,42
+8.2002e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,713,42
+8.4047e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,165,43
+8.4047e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,152,43
+8.4047e+10ns,27,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,152,43
+8.4048e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,591,43
+8.4048e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,324,43
+8.4048e+10ns,26,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,324,43
+8.40487e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,475,43
+8.40487e+10ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,475,43
+8.40495e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,626,43
+8.40495e+10ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,626,43
+8.405e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,303,43
+8.405e+10ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1c,303,43
+8.6095e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,157,44
+8.6095e+10ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,157,44
+8.6095e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,156,44
+8.6096e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,307,44
+8.60964e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,313,44
+8.60964e+10ns,26,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,313,44
+8.60972e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,469,44
+8.60972e+10ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,469,44
+8.60981e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,620,44
+8.60981e+10ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,620,44
+8.8143e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,157,45
+8.8143e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,219,45
+8.81442e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,315,45
+8.81446e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,488,45
+8.81451e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,639,45
+9.0191e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,153,46
+9.0191e+10ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,153,46
+9.0191e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,163,46
+9.0191e+10ns,27,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,163,46
+9.0192e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,841,46
+9.0192e+10ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,841,46
+9.0192e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,305,46
+9.0192e+10ns,26,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,305,46
+9.01932e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,314,46
+9.01932e+10ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1c,314,46
+9.01942e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,460,46
+9.01942e+10ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,460,46
+9.01946e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,611,46
+9.01946e+10ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,611,46
+9.2239e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,167,47
+9.2239e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,163,47
+9.22401e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,323,47
+9.22411e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,335,47
+9.22416e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,547,47
+9.2242e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,698,47
+9.4287e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,160,48
+9.4287e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,163,48
+9.42879e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,463,48
+9.42879e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,314,48
+9.42887e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,315,48
+9.42896e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,468,48
+9.429e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,619,48
+9.6335e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,217,49
+9.6335e+10ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,217,49
+9.6335e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,157,49
+9.6335e+10ns,27,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,157,49
+9.63362e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,313,49
+9.63362e+10ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1c,313,49
+9.63373e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,489,49
+9.63373e+10ns,26,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,489,49
+9.63377e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,641,49
+9.63377e+10ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,641,49
+9.63382e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,792,49
+9.63382e+10ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,792,49
+9.8383e+10ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,164,50
+9.8383e+10ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,164,50
+9.8383e+10ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,158,50
+9.83839e+10ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,309,50
+9.83839e+10ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1c,309,50
+9.83849e+10ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,323,50
+9.83849e+10ns,26,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,323,50
+9.83854e+10ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,474,50
+9.83854e+10ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,474,50
+9.83858e+10ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,625,50
+9.83858e+10ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,625,50
+1.00431e+11ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,154,51
+1.00431e+11ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,154,51
+1.00431e+11ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,153,51
+1.00431e+11ns,27,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,153,51
+1.00432e+11ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,456,51
+1.00432e+11ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,306,51
+1.00432e+11ns,26,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,306,51
+1.00433e+11ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,304,51
+1.00433e+11ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1c,304,51
+1.00434e+11ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,457,51
+1.00434e+11ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,457,51
+1.00434e+11ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,608,51
+1.00434e+11ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,608,51
+1.02479e+11ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,164,52
+1.02479e+11ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,158,52
+1.0248e+11ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,317,52
+1.0248e+11ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,325,52
+1.02481e+11ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,476,52
+1.02484e+11ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,627,52
+1.04527e+11ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,176,53
+1.04527e+11ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,158,53
+1.04528e+11ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,780,53
+1.04528e+11ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,338,53
+1.04529e+11ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,310,53
+1.04531e+11ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,513,53
+1.04534e+11ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,664,53
+1.06575e+11ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,173,54
+1.06575e+11ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,173,54
+1.06575e+11ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,156,54
+1.06575e+11ns,27,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,156,54
+1.06576e+11ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,629,54
+1.06576e+11ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,629,54
+1.06576e+11ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,329,54
+1.06576e+11ns,26,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,329,54
+1.06577e+11ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,484,54
+1.06577e+11ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,484,54
+1.06577e+11ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,635,54
+1.06577e+11ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,635,54
+1.06578e+11ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,307,54
+1.06578e+11ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1c,307,54
+1.08623e+11ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,216,55
+1.08623e+11ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,177,55
+1.08624e+11ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,670,55
+1.08624e+11ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,371,55
+1.08625e+11ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,328,55
+1.08628e+11ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,582,55
+1.0863e+11ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,733,55
+1.10671e+11ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,161,56
+1.10671e+11ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,161,56
+1.10671e+11ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,155,56
+1.10671e+11ns,27,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,155,56
+1.10672e+11ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,400,56
+1.10673e+11ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,314,56
+1.10673e+11ns,26,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,314,56
+1.10673e+11ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,468,56
+1.10673e+11ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,468,56
+1.10674e+11ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,619,56
+1.10674e+11ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,619,56
+1.12719e+11ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,161,57
+1.12719e+11ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,158,57
+1.1272e+11ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,328,57
+1.1272e+11ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1c,328,57
+1.12721e+11ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,408,57
+1.12721e+11ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,575,57
+1.12722e+11ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,726,57
+1.14767e+11ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,157,58
+1.14767e+11ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,157,58
+1.14767e+11ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,157,58
+1.14768e+11ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,309,58
+1.14768e+11ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1c,309,58
+1.14769e+11ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,336,58
+1.1477e+11ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,548,58
+1.1477e+11ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,699,58
+1.16815e+11ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,153,59
+1.16815e+11ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,153,59
+1.16815e+11ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,155,59
+1.16815e+11ns,27,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,155,59
+1.16816e+11ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,306,59
+1.16816e+11ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1c,306,59
+1.16817e+11ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,308,59
+1.16817e+11ns,26,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,308,59
+1.16818e+11ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,489,59
+1.16818e+11ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,489,59
+1.16818e+11ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,640,59
+1.16818e+11ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,640,59
+1.18863e+11ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,161,60
+1.18863e+11ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,161,60
+1.18864e+11ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,312,60
+1.18865e+11ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,399,60
+1.18866e+11ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,555,60
+1.18866e+11ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,706,60
+1.20911e+11ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,329,61
+1.20911e+11ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,160,61
+1.20912e+11ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,645,61
+1.20912e+11ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,484,61
+1.20914e+11ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,311,61
+1.20914e+11ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,311,61
+1.20914e+11ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,635,61
+1.20915e+11ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,786,61
+1.22959e+11ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,323,62
+1.22959e+11ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,323,62
+1.22959e+11ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,230,62
+1.22959e+11ns,27,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,230,62
+1.2296e+11ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1c,387,62
+1.2296e+11ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1c,387,62
+1.22961e+11ns,26,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,479,62
+1.22961e+11ns,26,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,479,62
+1.22962e+11ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1b,630,62
+1.22962e+11ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1b,630,62
+1.22962e+11ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,781,62
+1.22962e+11ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,781,62
